county,countyLabel,swampCount
http://www.wikidata.org/entity/Q504403,Bladen County,133
http://www.wikidata.org/entity/Q504329,Brunswick County,50
http://www.wikidata.org/entity/Q509813,Columbus County,86
http://www.wikidata.org/entity/Q507733,Robeson County,56
